timestamp,value,value_classification,time_until_update,Open,Close,Low,High,Volume,change,RSI,SMA200,SMA50,SMA5,position,fear,greed,overbrough,oversell,10d_low,buy_ranking,sell_ranking
2022-07-06,18,Extreme Fear,,20194.619140625,20548.24609375,19823.51171875,20595.529296875,24598943708,0.017737930428710857,40.61315729222966,,,19901.791015625,0,1,0,0,0,19242.255859375,1,0
2022-07-07,18,Extreme Fear,,20547.814453125,21637.587890625,20296.103515625,21771.81640625,25814972520,0.053013857820514154,48.60742231970546,,,20380.857421875,0,1,0,0,0,19242.255859375,1,0
2022-07-08,20,Extreme Fear,,21637.154296875,21731.1171875,21257.453125,22314.94140625,49899834488,0.004322538045727464,49.239229699995235,,,20867.665625,0,1,0,0,0,19242.255859375,1,0
2022-07-09,24,Extreme Fear,,21716.828125,21592.20703125,21445.95703125,21877.138671875,29641127858,-0.006392223420980114,48.289697295383746,,24859.9392578125,21139.8546875,0,1,0,0,0,19242.255859375,1,0
2022-07-10,24,Extreme Fear,,21591.080078125,20860.44921875,20727.123046875,21591.080078125,28688807249,-0.03388990349346599,43.52776753541555,,24688.5037109375,21273.921484375,0,1,0,0,0,19242.255859375,1,0
2022-07-11,22,Extreme Fear,,20856.353515625,19970.556640625,19924.5390625,20856.353515625,24150249025,-0.04265931997884009,38.54925716550465,,24481.440390625,21158.38359375,0,1,0,0,0,19242.255859375,1,0
2022-07-12,16,Extreme Fear,,19970.474609375,19323.9140625,19308.53125,20043.4453125,25810220018,-0.03237979740682695,35.38237837782906,,24285.94046875,20695.648828125,0,1,0,0,0,19297.076171875,1,0
2022-07-13,15,Extreme Fear,,19325.97265625,20212.07421875,18999.953125,20223.052734375,33042430345,0.04596171114078618,42.383591282734855,,24097.070234375,20391.840234375,0,1,0,0,0,19323.9140625,1,0
2022-07-14,18,Extreme Fear,,20211.466796875,20569.919921875,19689.2578125,20789.89453125,31158743333,0.017704551212910147,44.97064781880902,,23917.22140625,20187.3828125,0,1,0,0,0,19323.9140625,1,0
2022-07-15,15,Extreme Fear,,20573.15625,20836.328125,20397.0,21138.244140625,25905575359,0.012951348577769028,46.88283793190134,,23748.6034765625,20182.55859375,0,1,0,0,0,19323.9140625,1,0
2022-07-16,21,Extreme Fear,,20834.103515625,21190.31640625,20518.8984375,21514.404296875,24302954056,0.01698899533192111,49.39890690264419,,23599.8583203125,20426.510546875,0,1,0,0,0,19323.9140625,1,0
2022-07-17,24,Extreme Fear,,21195.041015625,20779.34375,20778.1796875,21600.640625,22927802083,-0.01939436147960416,46.63689207945371,,23439.1471875,20717.596484375,0,1,0,0,0,19323.9140625,1,0
2022-07-18,20,Extreme Fear,,20781.912109375,22485.689453125,20781.912109375,22633.033203125,39974475562,0.08211740099467768,57.30965986413846,,23299.9418359375,21172.31953125,0,1,0,0,0,19323.9140625,1,0
2022-07-19,30,Fear,,22467.849609375,23389.43359375,21683.40625,23666.962890625,48765202697,0.0401919693193753,61.680987948734355,,23133.2026953125,21736.222265625,0,0,0,0,0,19323.9140625,0,0
2022-07-20,31,Fear,,23393.19140625,23231.732421875,23009.94921875,24196.818359375,42932549127,-0.006742410894342465,60.516508677351524,,22961.9911328125,22215.303125,0,0,0,0,0,19323.9140625,0,0
2022-07-21,34,Fear,,23233.201171875,23164.62890625,22431.1484375,23388.322265625,33631012204,-0.0028884421706671937,59.99745969925537,,22829.302109375,22610.165625,0,0,0,0,0,19323.9140625,0,0
2022-07-22,33,Fear,,23163.751953125,22714.978515625,22603.416015625,23671.927734375,31421555646,-0.01941107679491816,56.50042019913938,,22674.2519140625,22997.292578125,0,0,0,0,0,20212.07421875,0,0
2022-07-23,31,Fear,,22706.984375,22465.478515625,22002.91015625,22977.2109375,24021799169,-0.010983941711781742,54.59876932620828,,22529.473671875,22993.250390625,0,0,0,0,0,20569.919921875,0,0
