,Time,Open,High,Low,Close,Volume,Close time,Quota,Trade,buy_base,buy_quote,Ignore,TT,SMA200,SMA50,SMA5,10d_low,Buy,Sell,Buyprice,Sellprice,RSI,overbrough,oversell
237,1630368000000,46982.91000000,48246.11000000,46700.00000000,47100.89000000,48645.52737000,1630454399999,2303799571.38227270,1300400,24426.21235000,1156878830.69083850,0,2021-08-31,46059.031549999956,41533.43360000001,48163.37599999999,46843.87,0,0,46158.8722,47100.89000000,54.028116627940115,0,0
238,1630454400000,47100.89000000,49156.00000000,46512.00000000,48810.52000000,49904.65528000,1630540799999,2386074445.41585230,1280384,25102.36864000,1200480555.04938700,0,2021-09-01,46067.315699999956,41855.04860000001,48111.49999999999,46843.87,0,1,47834.30959999999,48810.51000000,58.93677069157256,0,0
239,1630540800000,48810.51000000,50450.13000000,48584.06000000,49246.64000000,54410.77053800,1630627199999,2704192314.67468902,1549849,28351.80722500,1409412062.21968112,0,2021-09-02,46070.659949999965,42183.58100000001,48181.75799999999,46843.87,0,1,48261.7072,49246.63000000,60.10695919758289,0,0
240,1630627200000,49246.63000000,51000.00000000,48316.84000000,49999.14000000,59025.64415700,1630713599999,2949574478.07173762,1645163,29625.44338300,1481238133.39463303,0,2021-09-03,46081.10014999997,42545.96380000002,48428.01999999998,46843.87,0,1,48999.1572,49998.00000000,62.11316831821595,0,0
241,1630713600000,49998.00000000,50535.69000000,49370.00000000,49915.64000000,34664.65959000,1630799999999,1733527136.44425870,1225830,16739.70385000,837225473.73527600,0,2021-09-04,46085.011099999974,42916.59920000002,49014.565999999984,46843.87,0,1,48917.3272,49917.54000000,61.742124429839215,0,0
242,1630800000000,49917.54000000,51900.00000000,49450.00000000,51756.88000000,40544.83587300,1630886399999,2049212025.84465917,1417660,21557.23586400,1090239906.68566371,0,2021-09-05,46083.196949999976,43321.33540000002,49945.76399999998,46982.91,0,1,50721.742399999996,51756.88000000,66.4950324577236,0,0
243,1630886400000,51756.88000000,52780.00000000,50969.33000000,52663.90000000,49249.66708100,1630972799999,2549290983.05687762,1678015,24620.35252500,1274643403.54794685,0,2021-09-06,46088.75344999998,43739.04220000002,50716.43999999999,46982.91,0,1,51610.622,52666.20000000,68.56669830602557,0,0
244,1630972800000,52666.20000000,52920.00000000,42843.05000000,46863.73000000,123048.80271900,1631059199999,6004105772.87044281,3321711,57935.60197600,2832268574.03872573,0,2021-09-07,46043.542099999984,44059.52380000002,50239.857999999986,46863.73,1,0,45926.4554,46868.57000000,48.0895405674273,0,0
245,1631059200000,46868.57000000,47340.99000000,44412.02000000,46048.31000000,65069.31520000,1631145599999,3000605793.93896050,1796101,31796.74760000,1466544608.26787350,0,2021-09-08,45994.57769999999,44384.68300000002,49449.69199999998,46048.31,0,0,45127.343799999995,46048.31000000,46.009236653331,0,0
246,1631145600000,46048.31000000,47399.97000000,45513.08000000,46395.14000000,50651.66002000,1631231999999,2351862983.51824120,1567586,24183.38803000,1122994690.90933160,0,2021-09-09,45939.510549999985,44669.69560000002,48745.59199999998,46048.31,0,0,45467.237199999996,46395.14000000,47.05828177953484,0,0
